Fund Name,Scheme Type,Scheme Category,Plan,AUM,TER,PE,PB,Top 3 Holdings,Top 5 Holdings,Top 10 Holdings,Sharpe,Sortino,St Dev,Inception,Age in yrs,Score
Higher/lower,,,,higher,lower,lower,lower,lower,lower,lower,higher,higher,lower,higher,higher,
Quant BFSI Fund,Equity Scheme,Sectoral Fund - Banks & Financial Services,Growth,771.0037,0.77,22.9777,2.56,29.90713274,48.24136382,89.4430338,1.419181003,0.1547,13.61429544,0,2.833333333,5328.31398
Baroda BNP Paribas Dividend Yield Fund,Equity Scheme,Dividend Yield Fund,IDCW,693.1052,1.13,22.4533,3.59,17.72094626,25.45462074,39.40981831,0.744514419,0.0802,12.00374965,0,1.583333333,5298.013854
Baroda BNP Paribas Dividend Yield Fund,Equity Scheme,Dividend Yield Fund,Growth,693.1052,1.13,22.4533,3.59,17.72094626,25.45462074,39.40981831,0.744514419,0.0802,12.00374965,0,1.583333333,5298.013854
Mahindra Manulife Manufacturing Fund,Equity Scheme,Thematic Fund,Growth,694.4424,0.77,29.1296,3.48,16.37607381,24.11295739,39.65359834,0.88738499,0.0949,13.82159109,0,1.833333333,5273.730185
Mahindra Manulife Manufacturing Fund,Equity Scheme,Thematic Fund,IDCW,694.4424,0.77,29.1296,3.48,16.37607381,24.11295739,39.65359834,0.88738499,0.0949,13.82159109,0,1.833333333,5273.730185
Baroda BNP Paribas Energy Opportunities Fund,Equity Scheme,Sectoral Fund - Energy & Power,IDCW,714.7663,1.01,14.5387,2.07,24.60609852,35.8737814,57.23505711,0.969932431,0.1039,14.77588369,0,1.166666667,5255.58637
Baroda BNP Paribas Energy Opportunities Fund,Equity Scheme,Sectoral Fund - Energy & Power,Growth,714.7663,1.01,14.5387,2.07,24.60609852,35.8737814,57.23505711,0.969932431,0.1039,14.77588369,0,1.166666667,5255.58637
Motilal Oswal Digital India Fund,Equity Scheme,Sectoral Fund - Technology,Growth,730.4291,1.01,39.1909,4.67,21.06538472,33.16217823,55.53464395,-0.471472884,-0.0495,16.85893746,0,1.416666667,5228.295248
Motilal Oswal Digital India Fund,Equity Scheme,Sectoral Fund - Technology,IDCW,730.4291,1.01,39.1909,4.67,21.06538472,33.16217823,55.53464395,-0.471472884,-0.0496,16.85893746,0,1.416666667,5228.293948
Baroda BNP Paribas Business Conglomerates Fund,Equity Scheme,Thematic Fund,IDCW,713.9029,0.6,29.2258,4.18,25.32548894,33.45064154,48.1259006,-0.677841486,-0.0654,13.82159109,0,0.583333333,5198.773776
Baroda BNP Paribas Business Conglomerates Fund,Equity Scheme,Thematic Fund,Growth,713.9029,0.6,29.2258,4.18,25.32548894,33.45064154,48.1259006,-0.677841486,-0.0654,13.82159109,0,0.583333333,5198.773776
LIC MF Dividend Yield Fund,Equity Scheme,Dividend Yield Fund,Growth,662.34,0.77,25.8244,3.77,14.2106622,20.37991062,32.47459009,0.487347391,0.0535,12.00374965,0,7.333333333,5147.856527
LIC MF Dividend Yield Fund,Equity Scheme,Dividend Yield Fund,IDCW,662.34,0.77,25.8244,3.77,14.2106622,20.37991062,32.47459009,0.485759941,0.0534,12.00374965,0,7.333333333,5147.831416
Edelweiss Technology Fund,Equity Scheme,Sectoral Fund - Technology,IDCW,726.8678,0.61,34.6987,6.59,25.42255965,37.40139541,59.11433964,-0.04127372,-0.0043,16.85893746,0,2.083333333,5130.414166
Edelweiss Technology Fund,Equity Scheme,Sectoral Fund - Technology,Growth,726.8678,0.61,34.6987,6.59,25.42255965,37.40139541,59.11433964,-0.04127372,-0.0043,16.85893746,0,2.083333333,5130.414166
Baroda BNP Paribas Focused Fund,Equity Scheme,Focused Fund,IDCW,677.7222,0.47,27.3313,3.64,17.57538611,27.59021932,49.76658284,0.6064062,0.0648,13.25564873,0,8.5,5052.620848
Baroda BNP Paribas Focused Fund,Equity Scheme,Focused Fund,Growth,677.7222,0.47,27.3313,3.64,17.57538611,27.59021932,49.76658284,0.6064062,0.0648,13.25564873,0,8.5,5052.620848
Bandhan Multi-Factor Fund,Equity Scheme,Thematic Fund,Growth,649.6156,0.74,15.6453,2.63,11.9898412,19.79585593,38.9743876,0.149220374,0.0144,13.82159109,0,0.75,5028.393808
Bandhan Multi-Factor Fund,Equity Scheme,Thematic Fund,IDCW,649.6156,0.74,15.6453,2.63,11.9898412,19.79585593,38.9743876,0.149220374,0.0144,13.82159109,0,0.75,5028.393808
UTI India Consumer Fund,Equity Scheme,Sectoral Fund - Consumption,Growth,689.8996,1.59,41.5396,7.01,22.15574556,33.74712784,50.31295858,0.32383996,0.0351,12.17670215,12.41960135,13.25,5006.034928
UTI India Consumer Fund,Equity Scheme,Sectoral Fund - Consumption,IDCW,689.8996,1.59,41.5396,7.01,22.15574556,33.74712784,50.31295858,0.32383996,0.0351,12.17670215,11.68235772,13.25,5003.823197
Bank of India Mid Cap Fund,Equity Scheme,Mid Cap Fund,IDCW,666.8394,1.12,29.7641,4.59,14.61831739,22.88060663,38.8915532,-1.098515944,-0.1049,14.48069448,0,0.666666667,4996.157726
Bank of India Mid Cap Fund,Equity Scheme,Mid Cap Fund,Growth,666.8394,1.12,29.7641,4.59,14.61831739,22.88060663,38.8915532,-1.100103395,-0.105,14.48069448,0,0.666666667,4996.132614
Motilal Oswal Manufacturing Fund,Equity Scheme,Thematic Fund,Growth,684.9793,1.1,46.2617,5.83,17.33519538,26.96624555,46.97620789,0.512746604,0.0556,13.82159109,0,1.666666667,4953.503622
Motilal Oswal Manufacturing Fund,Equity Scheme,Thematic Fund,IDCW,684.9793,1.1,46.2617,5.83,17.33519538,26.96624555,46.97620789,0.512746604,0.0555,13.82159109,0,1.666666667,4953.502322
Invesco India Manufacturing Fund,Equity Scheme,Thematic Fund,Growth,658.2526,0.77,37.0742,5.4,13.54239998,20.58623088,36.68292385,0.692128543,0.0726,13.82159109,0,1.666666667,4949.566304
Invesco India Manufacturing Fund,Equity Scheme,Thematic Fund,IDCW,658.2526,0.77,37.0742,5.4,13.54239998,20.58623088,36.68292385,0.692128543,0.0724,13.82159109,0,1.666666667,4949.563704
JM Small Cap Fund,Equity Scheme,Small Cap Fund,IDCW,645.9811993,0.7,28.1875,2.44,13.87227888,21.06148868,33.72046703,0.031749016,0.0032,15.30194838,0,1.833333333,4916.571383
JM Small Cap Fund,Equity Scheme,Small Cap Fund,Growth,645.9811993,0.7,28.1875,2.44,13.87227888,21.06148868,33.72046703,0.031749016,0.0032,15.30194838,0,1.833333333,4916.571383
Bank of India Mfg & Infra Fund,Equity Scheme,Sectoral Fund - Infrastructure,Growth,661.3325,0.62,26.0379,3.41,23.10131439,34.34015416,49.28712864,1.073116732,0.1125,14.98233513,20.06382909,13.25,4896.228145
Bank of India Mfg & Infra Fund(Q-IDCW),Equity Scheme,Sectoral Fund - Infrastructure,IDCW,661.3325,0.62,26.0379,3.41,23.10131439,34.34015416,49.28712864,1.071529281,0.1125,14.98233513,19.93528322,13.25,4895.818695
Bank of India Mfg & Infra Fund,Equity Scheme,Sectoral Fund - Infrastructure,IDCW,661.3325,0.62,26.0379,3.41,23.10131439,34.34015416,49.28712864,1.073116732,0.1126,14.98233513,19.45577483,13.25,4894.405282
UTI Nifty 500 Value 50 Index Fund,Equity Scheme,Index Fund,Growth,642.4469,0.62,8.765,1.58,16.68855434,27.39826435,51.40831094,1.406481397,0.1462,14.87480402,0,2.916666667,4844.393981
WOC Quality Equity Fund,Equity Scheme,Thematic Fund,Growth,638.4894,0.7,37.5921,5.82,13.6089495,20.47597031,34.05602348,-0.146045472,-0.0155,13.82159109,0,1.25,4771.255852
ICICI Pru Nifty Smallcap 250 Index Fund,Equity Scheme,Index Fund,Growth,595.620209,0.3,27.3355,3.07,8.232309659,11.07381835,16.61160896,0.171444685,0.0175,14.87480402,0,4.416666667,4749.010753
ICICI Pru Nifty Smallcap 250 Index Fund,Equity Scheme,Index Fund,IDCW,595.620209,0.3,27.3355,3.07,8.232309659,11.07381835,16.61160896,0.171444685,0.0175,14.87480402,0,4.416666667,4749.010753
UTI Innovation Fund,Equity Scheme,Thematic Fund,IDCW,688.6877,0.93,56.6114,4.31,23.84822613,35.08803773,57.24355176,-0.569894832,-0.0584,13.82159109,0,2.5,4713.659033
UTI Innovation Fund,Equity Scheme,Thematic Fund,Growth,688.6877,0.93,56.6114,4.31,23.84822613,35.08803773,57.24355176,-0.569894832,-0.0584,13.82159109,0,2.5,4713.659033
UTI Nifty200 Quality 30 Index Fund,Equity Scheme,Index Fund,Growth,642.4764,0.69,29.2789,8.74,16.51953917,25.75049516,47.14659051,0.325427411,0.0358,14.87480402,0,1.583333333,4674.692543
Bandhan Transportation and Logistics Fund,Equity Scheme,Thematic Fund,Growth,659.0054,0.85,31.3209,4.31,24.13631084,36.52399321,58.17856427,1.539827263,0.1782,13.82159109,0,3.5,4642.641043
Bandhan Transportation and Logistics Fund,Equity Scheme,Thematic Fund,IDCW,659.0054,0.85,31.3209,4.31,24.13631084,36.52399321,58.17856427,1.539827263,0.178,13.82159109,0,3.5,4642.638443
LIC MF Small Cap Fund,Equity Scheme,Small Cap Fund,Growth,605.8872,1.04,34.5502,3.59,11.67959977,16.86294082,27.86229846,0.085722342,0.0089,15.30194838,0,8.833333333,4634.295354
LIC MF Small Cap Fund,Equity Scheme,Small Cap Fund,IDCW,605.8872,1.04,34.5502,3.59,11.67959977,16.86294082,27.86229846,0.085722342,0.0088,15.30194838,0,8.833333333,4634.294054
HDFC NIFTY200 Momentum 30 Index Fund,Equity Scheme,Index Fund,Growth,625.3719,0.4,26.2073,3.94,16.63774787,26.31413404,48.61772651,0.487347391,0.053,14.87480402,0,2.166666667,4566.518441
ICICI Pru Nifty Bank Index Fund,Equity Scheme,Index Fund,Growth,703.7486589,0.15,16.0562,1.91,46.50217032,65.60323692,88.18973822,1.223924556,0.1394,14.87480402,0,4.083333333,4511.127865
ICICI Pru Nifty Bank Index Fund,Equity Scheme,Index Fund,IDCW,703.7486589,0.15,16.0562,1.91,46.50217032,65.60323692,88.18973822,1.223924556,0.1394,14.87480402,0,4.083333333,4511.127865
Axis Nifty Midcap 50 Index Fund,Equity Scheme,Index Fund,IDCW,585.996001,0.25,32.2686,4.04,12.67842818,18.83124134,32.82667834,0.833411663,0.0897,14.87480402,0,4.083333333,4403.323732
Axis Nifty Midcap 50 Index Fund,Equity Scheme,Index Fund,Growth,585.996001,0.25,32.2686,4.04,12.67842818,18.83124134,32.82667834,0.833411663,0.0897,14.87480402,0,4.083333333,4403.323732
Aditya Birla SL ESG Integration Strategy Fund,Equity Scheme,Thematic Fund,Growth,592.3881,1.41,27.3597,3.9,17.95999953,25.65424592,40.63027262,0.593706594,0.0665,13.82159109,0,5.333333333,4339.481301
Aditya Birla SL ESG Integration Strategy Fund,Equity Scheme,Thematic Fund,IDCW,592.3881,1.41,27.3597,3.9,17.95999953,25.65424592,40.63027262,0.593706594,0.0661,13.82159109,0,5.333333333,4339.476101
HDFC NIFTY Smallcap 250 Index Fund,Equity Scheme,Index Fund,Growth,545.709,0.3,27.315,3.07,6.870529898,9.321927987,14.94774688,0.179381939,0.0183,14.87480402,0,3,4331.219755
Motilal Oswal Nifty Bank Index Fund,Equity Scheme,Index Fund,Growth,680.3935,0.19,16.0562,1.91,46.51136438,65.61620592,88.20714778,1.223924556,0.1392,14.87480402,0,6.583333333,4312.792254
Bajaj Finserv Consumption Fund,Equity Scheme,Sectoral Fund - Consumption,IDCW,611.114902,0.74,47.9594,6.17,22.85426767,31.0300464,46.03009352,-0.263516831,-0.028,12.17670215,0,1.416666667,4209.069319
Bajaj Finserv Consumption Fund,Equity Scheme,Sectoral Fund - Consumption,Growth,611.114902,0.74,47.9594,6.17,22.85426767,31.0300464,46.03009352,-0.263516831,-0.028,12.17670215,0,1.416666667,4209.069319
Kotak Technology Fund,Equity Scheme,Sectoral Fund - Technology,IDCW,669.1989,0.88,33.9638,6.99,44.45908384,57.01530591,76.64969264,-0.811187352,-0.0835,16.85893746,0,2.083333333,4149.51376
